Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,64,54.15,44,57,57,0.968684000000002
1,66,58.49,52,60,57,0.8877640000000052
2,66,61.05,55,64,64,0.79324400000001
3,67,63.15,57,62,62,0.5888680000000047
4,68,64.39,61,64,65,0.4636359999999996
5,69,65.71,62,65,64,0.4891719999999961
6,70,66.8,61,67,67,0.4531120000000018
7,70,67.53,64,68,67,0.3861320000000014
8,70,68.3,66,68,68,0.3250319999999975
9,71,68.82,67,70,68,0.3238959999999981
10,72,69.65,68,69,69,0.28951599999999955
11,73,70.42,69,71,71,0.2774240000000012
12,74,71.22,69,73,70,0.2431999999999995
13,74,72,70,71,73,0.19539199999999968
14,75,72.82,70,73,74,0.167223999999999
15,75,73.56,71,73,73,0.17725599999999897
16,76,74.23,73,74,75,0.17375599999999913
17,77,74.73,72,74,75,0.16829199999999928
18,78,75.25,73,77,75,0.15927600000000094
19,78,75.97,73,76,78,0.15213999999999908
20,79,76.79,74,77,76,0.1543239999999979
21,80,77.63,75,77,78,0.137988
22,80,78.25,76,78,78,0.10522800000000161
23,80,78.75,77,78,79,0.07679600000000118
24,81,79.34,77,80,80,0.06432800000000098
25,82,79.78,78,81,80,0.05644800000000069
26,83,80.19,77,80,80,0.04881200000000093
27,82,80.52,79,81,80,0.04910400000000159
28,83,81.05,79,81,81,0.059452000000001476
29,83,81.53,80,82,82,0.05566000000000106
30,83,81.88,80,82,82,0.043704000000001395
31,83,82.06,81,82,82,0.04572000000000147
32,84,82.4,81,82,82,0.04192800000000152
33,84,82.77,81,83,83,0.044132000000000934
34,84,83.07,82,83,83,0.037612000000000166
35,85,83.37,82,83,83,0.04108400000000114
36,85,83.82,82,84,84,0.04496800000000109
37,87,84.2,82,84,84,0.051424000000001226
38,87,84.73,83,85,85,0.05746800000000102
39,87,85.11,84,85,85,0.06321200000000132
40,87,85.54,84,86,86,0.0761600000000009
41,88,86.19,84,86,86,0.08334000000000144
42,88,86.65,85,87,87,0.0783240000000012
43,89,87.13,84,87,87,0.07881200000000163
44,89,87.61,86,87,88,0.061844000000001384
45,90,87.91,86,88,87,0.05738000000000076
46,90,88.22,87,88,88,0.06425600000000115
47,91,88.55,86,89,89,0.07396400000000111
48,91,89.19,85,89,89,0.06494000000000079
49,91,89.84,88,89,90,0.04561600000000101
50,92,90.38,89,91,90,0.031024000000000582
51,92,90.79,90,91,91,0.023956000000000463
52,92,90.98,90,91,92,0.02540800000000099
53,92,91.02,90,91,91,0.03247200000000087
54,93,91.42,90,91,92,0.029104000000000622
55,93,91.73,90,92,92,0.027132000000000666
56,93,92.07,91,92,92,0.0248280000000007
57,93,92.39,91,92,92,0.020540000000000086
58,94,92.74,91,93,93,0.016752000000000235
59,94,92.99,92,93,93,0.011164000000000123
60,94,93.04,92,93,94,0.015504000000000092
61,94,93.27,91,93,93,0.01781199999999991
62,95,93.72,92,94,94,0.012224000000000526
63,95,93.97,93,95,94,0.0089560000000002
64,96,94.17,93,95,95,0.01369200000000028
65,96,94.58,93,94,94,0.023816000000000226
66,96,94.97,93,95,95,0.027132000000000652
67,96,95.47,94,96,96,0.023276000000000113
68,96,95.86,95,96,96,0.007023999999999967
69,96,95.91,95,96,96,0.003563999999999945
70,97,95.88,95,96,96,0.005543999999999904
71,97,95.95,95,96,96,0.00276399999999996
72,97,95.9,94,96,96,0.007832000000000077
73,98,96.06,95,96,96,0.00808800000000005
74,98,96.3,95,96,96,0.010976000000000364
75,98,96.71,95,97,97,0.014660000000000284
76,98,97,96,97,97,0.010240000000000207
77,98,97.16,96,97,97,0.012984000000000403
78,98,97.42,96,97,97,0.016448000000000147
79,98,97.75,96,98,98,0.009372000000000241
80,99,97.92,97,98,98,0.003959999999999936
81,99,97.94,96,98,98,0.004727999999999931
82,99,97.96,97,98,98,0.005463999999999904
83,99,98.05,97,98,98,0.007692000000000042
84,99,98.3,97,98,99,0.010552000000000472
85,99,98.66,98,99,99,0.010656000000000408
86,99,98.9,98,99,99,0.003951999999999934
87,99,98.91,98,99,99,0.003563999999999944
88,100,98.94,98,99,99,0.003159999999999952
